empty_col`id`name`short_effect
0`66`Blaze,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
0`67`Torrent,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
0`68`Swarm,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
0`69`Rock Head,Protects against recoil damage.
0`70`Drought,Summons strong sunlight that lasts indefinitely upon entering battle.
0`71`Arena Trap,Prevents opponents from fleeing or switching out.  Eluded by flying-types and Pokémon in the air.
0`72`Vital Spirit,Prevents sleep.
0`73`White Smoke,Prevents stats from being lowered by other Pokémon.
0`74`Pure Power,Doubles attack in battle.
0`75`Shell Armor,Protects against critical hits.
0`76`Air Lock,Negates all effects of weather, but does not prevent the weather itself.
0`77`Tangled Feet,Doubles evasion when confused.
0`78`Motor Drive,Absorbs electric moves, raising speed one stage.
0`79`Rivalry,Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender.
0`80`Steadfast,Raises speed one stage upon flinching.
0`81`Snow Cloak,Increases evasion to 1.25× during hail.  Protects against hail damage.
0`82`Gluttony,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
0`83`Anger Point,Raises attack to the maximum of six stages upon receiving a critical hit.
0`84`Unburden,Doubles speed upon using or losing a held item.
0`85`Heatproof,Halves damage from fire moves and burns.
0`86`Simple,Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.
0`87`Dry Skin,Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP.
0`88`Download,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.
0`89`Iron Fist,Strengthens punch-based moves to 1.2× their power.
0`90`Poison Heal,Heals for 1/8 max HP after each turn when poisoned in place of damage.
0`91`Adaptability,Increases the same-type attack bonus from 1.5× to 2×.
0`92`Skill Link,Extends two-to-five-hit moves and triple kick to their full length every time.
0`93`Hydration,Cures any major status ailment after each turn during rain.
0`94`Solar Power,Increases special attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
0`95`Quick Feet,Increases speed to 1.5× with a major status ailment.
0`96`Normalize,Makes the Pokémon's moves all act normal-type.
0`97`Sniper,Strengthens critical hits to inflict 3× damage rather than 2×.
0`98`Magic Guard,Protects against damage not directly caused by a move.
0`99`No Guard,Ensures all moves used by and against the Pokémon hit.
0`100`Stall,Makes the Pokémon move last within its move's priority bracket.
0`101`Technician,Strengthens moves of 60 base power or less to 1.5× their power.
0`102`Leaf Guard,Protects against major status ailments during strong sunlight.
0`103`Klutz,Prevents the Pokémon from using its held item in battle.
0`104`Mold Breaker,Bypasses targets' abilities if they could hinder or prevent a move.
0`105`Super Luck,Raises moves' critical hit rates one stage.
0`106`Aftermath,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
0`107`Anticipation,Notifies all trainers upon entering battle if an opponent has a super-effective move, self-destruct, explosion, or a one-hit KO move.
0`108`Forewarn,Reveals the opponents' strongest move upon entering battle.
0`109`Unaware,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
0`110`Tinted Lens,Doubles damage inflicted with not very effective moves.
0`111`Filter,Decreases damage taken from super-effective moves by 1/4.
0`112`Slow Start,Halves attack and speed for five turns upon entering battle.
0`113`Scrappy,Lets the Pokémon's normal and fighting moves hit ghost Pokémon.
0`114`Storm Drain,Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising special attack one stage.
0`115`Ice Body,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
0`116`Solid Rock,Decreases damage taken from super-effective moves by 1/4.
0`117`Snow Warning,Summons hail that lasts indefinitely upon entering battle.
0`118`Honey Gather,The Pokémon may pick up honey after battle.
0`119`Frisk,Reveals an opponent's held item upon entering battle.
0`120`Reckless,Strengthens recoil moves to 1.2× their power.
0`121`Multitype,Changes Arceus's type and form to match its held Plate.
0`122`Flower Gift,Increases friendly Pokémon's attack and special defense to 1.5× during strong sunlight.
0`123`Bad Dreams,Damages sleeping opponents for 1/8 their max HP after each turn.
0`124`Pickpocket,Steals attacking Pokémon's held items on contact.
0`125`Sheer Force,Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects.
0`126`Contrary,Inverts stat changes.
0`127`Unnerve,Prevents opposing Pokémon from eating held Berries.
0`128`Defiant,Raises attack two stages upon having any stat lowered.
0`129`Defeatist,Halves attack and special attack at 50% max HP or less.
0`130`Cursed Body,Has a 30% chance of disabling any move that hits the Pokémon.
0`131`Healer,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
0`132`Friend Guard,Decreases all direct damage taken by friendly Pokémon to 0.75×.
0`133`Weak Armor,Raises speed and lowers defense by one stage each upon being hit by a physical move.
0`134`Heavy Metal,Doubles the Pokémon's weight.
0`135`Light Metal,Halves the Pokémon's weight.
0`136`Multiscale,Halves damage taken from full HP.
0`137`Toxic Boost,Increases attack to 1.5× when poisoned.
0`138`Flare Boost,Increases special attack to 1.5× when burned.
0`139`Harvest,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
0`140`Telepathy,Protects against friendly Pokémon's damaging moves.
0`141`Moody,Raises a random stat two stages and lowers another one stage after each turn.
0`142`Overcoat,Protects against damage from weather.
0`143`Poison Touch,Has a 30% chance of poisoning target Pokémon upon contact.
0`144`Regenerator,Heals for 1/3 max HP upon switching out.
0`145`Big Pecks,Protects against defense drops.
0`146`Sand Rush,Doubles speed during a sandstorm.  Protects against sandstorm damage.
0`147`Wonder Skin,Lowers incoming non-damaging moves' base accuracy to exactly 50%.
0`148`Analytic,Strengthens moves to 1.3× their power when moving last.
0`149`Illusion,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.
0`150`Imposter,Transforms upon entering battle.
0`151`Infiltrator,Bypasses light screen, reflect, and safeguard.
0`152`Mummy,Changes attacking Pokémon's abilities to Mummy on contact.
0`153`Moxie,Raises attack one stage upon KOing a Pokémon.
0`154`Justified,Raises attack one stage upon taking damage from a dark move.
0`155`Rattled,Raises speed one stage upon being hit by a dark, ghost, or bug move.
0`156`Magic Bounce,Reflects most non-damaging moves back at their user.
0`157`Sap Sipper,Absorbs grass moves, raising attack one stage.
0`158`Prankster,Raises non-damaging moves' priority by one stage.
0`159`Sand Force,Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage.
0`160`Iron Barbs,Damages attacking Pokémon for 1/8 their max HP on contact.
0`161`Zen Mode,Changes Darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP, and Standard Mode otherwise.
0`162`Victory Star,Increases moves' accuracy to 1.1× for friendly Pokémon.
0`163`Turboblaze,Bypasses targets' abilities if they could hinder or prevent moves.
0`164`Teravolt,Bypasses targets' abilities if they could hinder or prevent moves.
0`165`Aroma Veil,Protects allies against moves that affect their mental state.
0`166`Flower Veil,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.
0`167`Cheek Pouch,Restores HP upon eating a Berry, in addition to the Berry's effect.
0`168`Protean,Changes the bearer's type to match each move it uses.
0`169`Fur Coat,Halves damage from physical attacks.
0`170`Magician,Steals the target's held item when the bearer uses a damaging move.
0`171`Bulletproof,Protects against bullet, ball, and bomb-based moves.
0`172`Competitive,Raises Special Attack by two stages upon having any stat lowered.
0`173`Strong Jaw,Strengthens biting moves to 1.5× their power.
0`174`Refrigerate,Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power.
0`175`Sweet Veil,Prevents friendly Pokémon from sleeping.
0`176`Stance Change,Changes Aegislash to Blade Forme before using a damaging move, or Shield Forme before using king's shield.
0`177`Gale Wings,Raises flying moves' priority by one stage.
0`178`Mega Launcher,Strengthens aura and pulse moves to 1.5× their power.
0`179`Grass Pelt,Boosts Defense while grassy terrain is in effect.
0`180`Symbiosis,Passes the bearer's held item to an ally when the ally uses up its item.
0`181`Tough Claws,Strengthens moves that make contact to 1.33× their power.
0`182`Pixilate,Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power.
0`183`Gooey,Lowers attacking Pokémon's Speed by one stage on contact.
0`184`Aerilate,Turns the bearer's normal moves into flying moves and strengthens them to 1.3× their power.
0`185`Parental Bond,Lets the bearer hit twice with damaging moves.  The second hit has half power.
0`186`Dark Aura,Strengthens dark moves to 1.33× their power for all friendly and opposing Pokémon.
0`187`Fairy Aura,Strengthens fairy moves to 1.33× their power for all friendly and opposing Pokémon.
0`188`Aura Break,Makes dark aura and fairy aura weaken moves of their respective types.
0`189`Primordial Sea,Creates heavy rain, which has all the properties of Rain Dance, cannot be replaced, and causes damaging Fire moves to fail.
0`190`Desolate Land,Creates extremely harsh sunlight, which has all the properties of Sunny Day, cannot be replaced, and causes damaging Water moves to fail.
0`191`Delta Stream,Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against Flying Pokémon.
0`192`Stamina,Raises this Pokémon's Defense by one stage when it takes damage from a move.
0`193`Wimp Out,This Pokémon automatically switches out when its HP drops below half.
0`194`Emergency Exit,This Pokémon automatically switches out when its HP drops below half.
0`195`Water Compaction,Raises this Pokémon's Defense by two stages when it's hit by a Water move.
0`196`Merciless,This Pokémon's moves critical hit against poisoned targets.
0`197`Shields Down,Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.
0`198`Stakeout,This Pokémon's moves have double power against Pokémon that switched in this turn.
0`199`Water Bubble,Halves damage from Fire moves, doubles damage of Water moves, and prevents burns.
0`200`Steelworker,This Pokémon's Steel moves have 1.5× power.
0`201`Berserk,Raises this Pokémon's Special Attack by one stage every time its HP drops below half.
0`202`Slush Rush,During Hail, this Pokémon has double Speed.
0`203`Long Reach,This Pokémon's moves do not make contact.
0`204`Liquid Voice,Sound-based moves become Water-type.
0`205`Triage,This Pokémon's healing moves have their priority increased by 3.
0`206`Galvanize,This Pokémon's Normal moves are Electric and have their power increased to 1.2×.
0`207`Surge Surfer,Doubles this Pokémon's Speed on Electric Terrain.
0`208`Schooling,Wishiwashi becomes Schooling Form when its HP is 25% or higher.
0`209`Disguise,Prevents the first instance of battle damage.
0`210`Battle Bond,Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.
0`211`Power Construct,Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.
0`212`Corrosion,This Pokémon can inflict poison on Poison and Steel Pokémon.
0`213`Comatose,This Pokémon always  acts as though it were Asleep.
0`214`Queenly Majesty,Opposing Pokémon cannot use priority attacks.
0`215`Innards Out,When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.
0`216`Dancer,Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.
0`217`Battery,Ally Pokémon's moves have their power increased to 1.3×.
0`218`Fluffy,Damage from contact moves is halved.  Damage from Fire moves is doubled.
0`219`Dazzling,Opposing Pokémon cannot use priority attacks.
0`220`Soul Heart,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.
0`221`Tangling Hair,When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.
0`222`Receiver,When an ally faints, this Pokémon gains its Ability.
0`223`Power of Alchemy,When an ally faints, this Pokémon gains its Ability.
0`224`Beast Boost,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.
0`225`RKS System,Changes this Pokémon's type to match its held Memory.
0`226`Electric Surge,When this Pokémon enters battle, it changes the terrain to Electric Terrain.
0`227`Psychic Surge,When this Pokémon enters battle, it changes the terrain to Psychic Terrain.
0`228`Misty Surge,When this Pokémon enters battle, it changes the terrain to Misty Terrain.
0`229`Grassy Surge,When this Pokémon enters battle, it changes the terrain to Grassy Terrain.
0`230`Full Metal Body,Other Pokémon cannot lower this Pokémon's stats.
0`231`Shadow Shield,When this Pokémon has full HP, regular damage from moves is halved.
0`232`Prism Armor,Reduces super-effective damage to 0.75×.
0`10001`Mountaineer`
0`10002`Wave Rider`
0`10003`Skater`
0`10004`Thrust`
0`10005`Perception`
0`10006`Parry`
0`10007`Instinct`
0`10008`Dodge`
0`10009`Jagged Edge`
0`10010`Frostbite`
0`10011`Tenacity`
0`10012`Pride`
0`10013`Deep Sleep`
0`10014`Power Nap`
0`10015`Spirit`
0`10016`Warm Blanket`
0`10017`Gulp`
0`10018`Herbivore`
0`10019`Sandpit`
0`10020`Hot Blooded`
0`10021`Medic`
0`10022`Life Force`
0`10023`Lunchbox`
0`10024`Nurse`
0`10025`Melee`
0`10026`Sponge`
0`10027`Bodyguard`
0`10028`Hero`
0`10029`Last Bastion`
0`10030`Stealth`
0`10031`Vanguard`
0`10032`Nomad`
0`10033`Sequence`
0`10034`Grass Cloak`
0`10035`Celebrate`
0`10036`Lullaby`
0`10037`Calming`
0`10038`Daze`
0`10039`Frighten`
0`10040`Interference`
0`10041`Mood Maker`
0`10042`Confidence`
0`10043`Fortune`
0`10044`Bonanza`
0`10045`Explode`
0`10046`Omnipotent`
0`10047`Share`
0`10048`Black Hole`
0`10049`Shadow Dash`
0`10050`Sprint`
0`10051`Disgust`
0`10052`High Rise`
0`10053`Climber`
0`10054`Flame Boost`
0`10055`Aqua Boost`
0`10056`Run Up`
0`10057`Conqueror`
0`10058`Shackle`
0`10059`Decoy`
0`10060`Shield`
